Indication_ID,Indication_Name,Slug
1394,Peritoneal dialysis,peritoneal-dialysis-3101
1395,Peritoneal dialysis dependent-chronic kidney disease (PDD-CKD) patients receiving an erythropoietin,peritoneal-dialysis-dependent-chronic-kidney-disease-pdd-ckd-patients-receiving-an-erythropoietin-3811
1396,Peritonitis,peritonitis-3102
1397,Pernicious anemia,pernicious-anemia-3103
1398,Pertussis,pertussis-3104
1399,Phaeochromocytoma,phaeochromocytoma-3105
1400,Pharyngitis,pharyngitis-3106
1401,Pharyngitis and tonsillitis,pharyngitis-and-tonsillitis-3107
1402,Phobias,phobias-3109
1403,Photoaging,photoaging-3110
1404,Photodermatitis,photodermatitis-3738
1405,Piles,piles-3111
1406,pimples and other signs of aging,pimples-and-other-signs-of-aging-3795
1407,Pink eye,pink-eye-3112
1408,Pituitary adenomas,pituitary-adenomas-3113
1409,Pityriasis rubra pilaris,pityriasis-rubra-pilaris-3114
1410,Pityriasis versicolor,pityriasis-versicolor-3115
1411,Plague,plague-3116
1412,Plaque,plaque-3117
1413,Plaque psoriasis,plaque-psoriasis-3118
1414,Pleural effusions,pleural-effusions-3119
1415,Pleural empyema,pleural-empyema-3120
1416,Pneumococcal disease,pneumococcal-disease-3121
1417,Pneumococcal meningitis,pneumococcal-meningitis-3122
1418,Pneumococcal pneumonia,pneumococcal-pneumonia-3123
1419,Pneumococcus species gonorrhoea,pneumococcus-species-gonorrhoea-3124
1420,Pneumocystis jiroveci pneumonia,pneumocystis-jiroveci-pneumonia-3125
1421,Pneumonia,pneumonia-3126
1422,Poison ivy,poison-ivy-3127
1423,Poison oak,poison-oak-3128
1424,Poison sumac,poison-sumac-3129
1425,Poisoning due to foods; heavy meals & drugs,poisoning-due-to-foods-heavy-meals-drugs-3627
1426,Poisonings,poisonings-3130
1427,Polycystic ovarian syndrome,polycystic-ovarian-syndrome-3132
1428,Polycythaemia vera,polycythaemia-vera-3133
1429,Polymorphic light eruption,polymorphic-light-eruption-3134
1430,Polymyositis,polymyositis-3135
1431,Porphyria,porphyria-3136
1432,Porphyria cutanea tarda,porphyria-cutanea-tarda-3137
1433,Post essential thrombocythaemia myelofibrosis,post-essential-thrombocythaemia-myelofibrosis-4183
1434,Post inflammatory hyperpigmentation,post-inflammatory-hyperpigmentation-3138
1435,Post myocardial infarction,post-myocardial-infarction-3139
1436,Post operative inflammation in the eye and ear,post-operative-inflammation-in-the-eye-and-ear-3724
1437,Post polycythaemia vera myelofibrosis,post-polycythaemia-vera-myelofibrosis-4182
1438,Post traumatic stress disorder (PTSD),post-traumatic-stress-disorder-ptsd-3742
1439,Postcoital contraception,postcoital-contraception-3147
1440,Posterior segment surgery,posterior-segment-surgery-3148
1441,Postexposure prophylaxis of tetanus,postexposure-prophylaxis-of-tetanus-3149
1442,Postexposure vaccination,postexposure-vaccination-4057
1443,Post-herpetic keratitis,post-herpetic-keratitis-3140
1444,Post-herpetic neuralgia,post-herpetic-neuralgia-3141
1445,Post-menopausal osteoporosis,post-menopausal-osteoporosis-3142
1446,Post-op conditions after strabotomy,post-op-conditions-after-strabotomy-2951
1447,Postoperative bleeding,postoperative-bleeding-3150
1448,Postoperative eye inflammation,postoperative-eye-inflammation-3151
1449,Postoperative infections,postoperative-infections-3152
1450,Post-operative nausea and vomiting,post-operative-nausea-and-vomiting-3143
1451,Postoperative ocular inflammation,postoperative-ocular-inflammation-3153
1452,Postoperative pain,postoperative-pain-3917
1453,Post-operative pain,post-operative-pain-3144
1454,Post-operative wound dressing,post-operative-wound-dressing-3145
1455,Postpartum and post-abortion bleeding,postpartum-and-post-abortion-bleeding-3154
1456,Postpartum haemorrhage,postpartum-haemorrhage-3155
